month/day	vader compound	vader sentiment
2006-07-19	0.9153	positive
2006-07-20	0.0	neutral
2006-07-21	0.0	neutral
2006-07-22	0.0	neutral
2006-07-23	0.0	neutral
2006-07-24	0.0	neutral
2006-07-25	0.0	neutral
2006-07-26	0.0	neutral
2006-07-27	0.0	neutral
2006-07-28	0.0	neutral
2006-07-29	0.0	neutral
2006-07-30	0.0	neutral
2006-07-31	0.0	neutral
2006-08-01	0.0	neutral
2006-08-02	0.0	neutral
2006-08-03	0.0	neutral
2006-08-04	0.0	neutral
2006-08-05	0.0	neutral
2006-08-06	0.0	neutral
2006-08-07	0.0	neutral
2006-08-08	0.0	neutral
2006-08-09	0.0	neutral
2006-08-10	0.0	neutral
2006-08-11	0.0	neutral
2006-08-12	0.0	neutral
2006-08-13	0.0	neutral
2006-08-14	0.0	neutral
2006-08-15	0.0	neutral
2006-08-16	0.0	neutral
2006-08-17	0.0	neutral
2006-08-18	0.0	neutral
2006-08-19	0.0	neutral
2006-08-20	0.0	neutral
2006-08-21	0.0	neutral
2006-08-22	0.0	neutral
2006-08-23	0.0	neutral
2006-08-24	0.0	neutral
2006-08-25	0.0	neutral
2006-08-26	0.0	neutral
2006-08-27	0.0	neutral
2006-08-28	0.0	neutral
2006-08-29	0.0	neutral
2006-08-30	0.0	neutral
2006-08-31	0.0	neutral
2006-09-01	0.0	neutral
2006-09-02	0.0	neutral
2006-09-03	0.0	neutral
2006-09-04	0.0	neutral
2006-09-05	0.0	neutral
2006-09-06	0.0	neutral
2006-09-07	0.0	neutral
2006-09-08	0.0	neutral
2006-09-09	0.0	neutral
2006-09-10	0.0	neutral
2006-09-11	0.0	neutral
2006-09-12	0.0	neutral
2006-09-13	0.0	neutral
2006-09-14	0.0	neutral
2006-09-15	0.0	neutral
2006-09-16	0.0	neutral
2006-09-17	0.0	neutral
2006-09-18	0.0	neutral
2006-09-19	0.0	neutral
2006-09-20	0.0	neutral
2006-09-21	0.0	neutral
2006-09-22	0.0	neutral
2006-09-23	0.0	neutral
2006-09-24	0.0	neutral
2006-09-25	0.0	neutral
2006-09-26	0.0	neutral
2006-09-27	0.0	neutral
2006-09-28	0.0	neutral
2006-09-29	0.0	neutral
2006-09-30	0.0	neutral
2006-10-01	0.0	neutral
2006-10-02	0.0	neutral
2006-10-03	0.0	neutral
2006-10-04	0.0	neutral
2006-10-05	0.0	neutral
2006-10-06	0.0	neutral
2006-10-07	0.0	neutral
2006-10-08	0.0	neutral
2006-10-09	0.0	neutral
2006-10-10	0.0	neutral
2006-10-11	0.0	neutral
2006-10-12	0.0	neutral
2006-10-13	0.0	neutral
2006-10-14	0.0	neutral
2006-10-15	0.0	neutral
2006-10-16	0.0	neutral
2006-10-17	0.0	neutral
2006-10-18	0.0	neutral
2006-10-19	0.0	neutral
2006-10-20	0.0	neutral
2006-10-21	0.6124	positive
2006-10-22	0.0	neutral
2006-10-23	0.0	neutral
2006-10-24	0.0	neutral
2006-10-25	0.1027	positive
2006-10-26	0.0	neutral
2006-10-27	0.0	neutral
2006-10-28	0.0	neutral
2006-10-29	0.0	neutral
2006-10-30	0.0	neutral
2006-10-31	0.0	neutral
2006-11-01	0.0	neutral
2006-11-02	0.0	neutral
2006-11-03	0.0	neutral
2006-11-04	0.0	neutral
2006-11-05	0.0	neutral
2006-11-06	0.0	neutral
2006-11-07	0.0	neutral
2006-11-08	0.0	neutral
2006-11-09	0.0	neutral
2006-11-10	0.0	neutral
2006-11-11	0.0	neutral
2006-11-12	0.0	neutral
2006-11-13	0.0	neutral
2006-11-14	0.0	neutral
2006-11-15	0.0	neutral
2006-11-16	0.0	neutral
2006-11-17	0.0	neutral
2006-11-18	0.0	neutral
2006-11-19	0.0	neutral
2006-11-20	-0.9081	negative
2006-11-21	0.0	neutral
2006-11-22	0.0	neutral
2006-11-23	0.0	neutral
2006-11-24	0.0	neutral
2006-11-25	0.0	neutral
2006-11-26	0.0	neutral
2006-11-27	0.0	neutral
2006-11-28	0.0	neutral
2006-11-29	0.0	neutral
2006-11-30	0.0	neutral
2006-12-01	0.0	neutral
2006-12-02	0.0	neutral
2006-12-03	0.0	neutral
2006-12-04	0.0	neutral
2006-12-05	0.0472999999999999	positive
2006-12-06	0.0	neutral
2006-12-07	0.0	neutral
2006-12-08	0.0	neutral
2006-12-09	0.0	neutral
2006-12-10	0.0	neutral
2006-12-11	0.0	neutral
2006-12-12	-0.1027	negative
2006-12-13	0.0	neutral
2006-12-14	-0.10189999999999999	negative
2006-12-15	0.0	neutral
2006-12-16	0.0	neutral
2006-12-17	0.0	neutral
2006-12-18	0.0	neutral
2006-12-19	0.0	neutral
2006-12-20	0.0	neutral
2006-12-21	-0.1027	negative
2006-12-22	0.0	neutral
2006-12-23	0.0	neutral
2006-12-24	0.0	neutral
2006-12-25	0.0	neutral
2006-12-26	0.0	neutral
2006-12-27	0.0	neutral
2006-12-28	0.0	neutral
2006-12-29	0.0	neutral
2006-12-30	0.0	neutral
2006-12-31	0.0	neutral
2007-01-01	0.0	neutral
2007-01-02	-0.0516	negative
2007-01-03	0.0	neutral
2007-01-04	0.0	neutral
2007-01-05	0.0	neutral
2007-01-06	0.0	neutral
2007-01-07	0.0	neutral
2007-01-08	0.0	neutral
2007-01-09	0.0	neutral
2007-01-10	0.0	neutral
2007-01-11	-0.21950000000000003	negative
2007-01-12	0.0	neutral
2007-01-13	0.0	neutral
2007-01-14	0.0	neutral
2007-01-15	0.0772	positive
2007-01-16	-0.6597	negative
2007-01-17	-0.8176	negative
2007-01-18	-0.13269999999999998	negative
2007-01-19	0.6945	positive
2007-01-20	0.0	neutral
2007-01-21	-0.1531	negative
2007-01-22	0.0	neutral
2007-01-23	0.0	neutral
2007-01-24	-0.0516	negative
2007-01-25	0.0	neutral
2007-01-26	0.0	neutral
2007-01-27	0.0	neutral
2007-01-28	-0.4377	negative
2007-01-29	0.0	neutral
2007-01-30	0.0	neutral
2007-01-31	-0.060299999999999965	negative
2007-02-01	0.0	neutral
2007-02-02	0.0	neutral
2007-02-03	0.0	neutral
2007-02-04	0.0	neutral
2007-02-05	0.0	neutral
2007-02-06	0.8176	positive
2007-02-07	0.8202	positive
2007-02-08	0.05989999999999995	positive
2007-02-09	0.0	neutral
2007-02-10	0.0	neutral
2007-02-11	0.0	neutral
2007-02-12	-0.5939	negative
2007-02-13	0.0	neutral
2007-02-14	0.0	neutral
2007-02-15	0.0	neutral
2007-02-16	0.0	neutral
2007-02-17	-0.8106	negative
2007-02-18	0.0	neutral
2007-02-19	0.0	neutral
2007-02-20	0.0	neutral
2007-02-21	0.0	neutral
2007-02-22	0.0	neutral
2007-02-23	0.0	neutral
2007-02-24	0.0	neutral
2007-02-25	0.0	neutral
2007-02-26	-0.7354	negative
2007-02-27	-0.5676	negative
2007-02-28	0.0	neutral
2007-03-01	0.0	neutral
2007-03-02	-0.6179	negative
2007-03-03	-0.1779	negative
2007-03-04	0.0	neutral
2007-03-05	0.0	neutral
2007-03-06	-0.3612	negative
2007-03-07	0.0	neutral
2007-03-08	-0.765	negative
2007-03-09	-0.33030000000000004	negative
2007-03-10	0.0	neutral
2007-03-11	0.6756	positive
2007-03-12	1.4889	positive
2007-03-13	-0.128	negative
2007-03-14	1.8566	positive
2007-03-15	0.0	neutral
2007-03-16	0.5859	positive
2007-03-17	0.15800000000000003	positive
2007-03-18	-1.9950999999999999	negative
2007-03-19	-0.8659999999999999	negative
2007-03-20	-0.3726	negative
2007-03-21	-2.0645999999999995	negative
2007-03-22	0.6807999999999998	positive
2007-03-23	-1.042	negative
2007-03-24	-0.6193	negative
2007-03-25	-0.1531	negative
2007-03-26	0.0	neutral
2007-03-27	-1.4024999999999999	negative
2007-03-28	-0.1664000000000001	negative
2007-03-29	0.4788	positive
2007-03-30	0.0	neutral
2007-03-31	-0.7783	negative
